[33, 19, 153, 41, 'IVONACIONAL', 0.5869122743606567, 16]
[159, 17, 420, 43, 'STBAEDUCANNONACON', 0.30699020624160767, 19]
[441, 23, 467, 38, 'STE', 0.8543640971183777, 11]
[480, 24, 492, 36, 'A', 0.8975135087966919, 9]
[486, 23, 516, 38, 'AED', 0.9994445443153381, 11]
[510, 24, 522, 36, ')', 0.7117248773574829, 9]
[518, 24, 529, 36, 'U', 0.8988890647888184, 9]
[525, 24, 537, 36, 'C', 0.600163459777832, 9]
[533, 24, 544, 36, 'C', 0.9642665386199951, 9]
[539, 23, 576, 38, 'ATV', 0.5265111327171326, 11]
[571, 24, 582, 36, '/', 0.7098975777626038, 9]
[661, 24, 672, 36, 'A', 0.9799243211746216, 9]
[625, 45, 650, 60, 'EDI', 0.9493902325630188, 11]
[757, 45, 806, 60, 'IONAL', 0.9373133778572083, 11]
[559, 122, 601, 145, '2021-2', 0.9877888560295105, 17]
[651, 124, 670, 143, '10', 0.9996962547302246, 14]
[762, 124, 826, 145, 'Obligatoria', 0.5711121559143066, 15]
[561, 141, 599, 158, '2021-2', 0.9984371066093445, 12]
[653, 143, 667, 154, '10', 0.9995697140693665, 8]
[772, 141, 817, 158, 'Optativa', 0.9947080612182617, 12]
[471, 160, 512, 175, 'MAED', 0.9392699003219604, 11]
[557, 154, 601, 177, '2021-V', 0.8345263600349426, 17]
[653, 160, 668, 171, '10', 0.9999586343765259, 8]
[762, 156, 826, 177, 'Obligatorial', 0.5580813884735107, 15]
[858, 162, 872, 173, 'N.', 0.34988492727279663, 8]
[561, 173, 599, 190, '2021-V', 0.987141489982605, 12]
[653, 175, 668, 186, '10', 0.999966025352478, 8]
[762, 171, 826, 194, 'Obligatoria', 0.7974604964256287, 17]
[561, 188, 599, 205, '2022-1', 0.9993160963058472, 12]
[653, 190, 668, 205, '10', 0.9999921321868896, 11]
[770, 186, 819, 209, 'Optativa', 0.6347841620445251, 17]
[559, 201, 601, 224, '2022-1', 0.8646632432937622, 17]
[651, 203, 670, 222, '10', 0.9849140048027039, 14]
[762, 203, 826, 226, 'Obligatoria', 0.563974142074585, 17]
[845, 207, 873, 222, 'ON', 0.8302515745162964, 11]
[499, 231, 514, 243, '0', 0.5067106485366821, 9]
[559, 218, 601, 241, '2022-1', 0.9862455129623413, 17]
[651, 220, 670, 237, '10', 0.9900935292243958, 12]
[762, 220, 826, 241, 'Obligatoria', 0.7039383053779602, 15]
[557, 233, 601, 256, '2022-1', 0.8229007124900818, 17]
[646, 235, 672, 254, '9.40', 0.9945927262306213, 14]
[762, 235, 826, 256, 'Obligatoria', 0.7915248274803162, 15]
[367, 252, 415, 267, 'ONAL', 0.999963641166687, 11]
[480, 254, 492, 265, 'A', 0.8889275789260864, 8]
[557, 250, 601, 273, '2022-', 0.8693776726722717, 17]
[651, 252, 670, 269, '10', 0.8301558494567871, 12]
[762, 252, 826, 273, 'Obligatorial', 0.5556402206420898, 15]
[847, 252, 873, 267, 'ON', 0.6946291327476501, 11]
[646, 269, 674, 286, '9.40', 0.940208375453949, 12]
[762, 267, 828, 290, 'Obligatoria:', 0.6348216533660889, 17]
[857, 276, 872, 288, 'M', 0.9583518505096436, 9]
[557, 282, 601, 305, '2022-', 0.4549863934516907, 17]
[646, 284, 674, 301, '9.70', 0.7462584972381592, 12]
[762, 284, 826, 305, 'Obligatoria', 0.5547484159469604, 15]
[394, 299, 405, 310, 'A', 0.9999432563781738, 8]
[428, 299, 443, 310, '5', 0.5563076734542847, 8]
[473, 297, 516, 312, 'MAED', 0.9929908514022827, 11]
[561, 301, 599, 318, '2022-2', 0.999373733997345, 12]
