[54, 51, 272, 125, 'BBVA', 0.9998831748962402, 55]
[997, 70, 1068, 93, 'Estado', 0.9940266609191895, 17]
[1068, 68, 1101, 94, 'de', 0.9999492168426514, 19]
[1101, 70, 1177, 93, 'Cuenta', 0.9992433786392212, 17]
[898, 101, 976, 119, 'Libreton', 0.5021283626556396, 13]
[979, 99, 1042, 122, 'Basico', 0.6551993489265442, 17]
[1042, 102, 1110, 121, 'Cuenta', 0.998687207698822, 14]
[1113, 101, 1177, 125, 'Digital', 0.9758514165878296, 18]
[1076, 122, 1139, 141, 'PAGINA', 0.9960961937904358, 14]
[1141, 122, 1180, 142, '4/9', 0.9844783544540405, 15]
[1092, 201, 1194, 220, '1590782340', 0.9605440497398376, 14]
[1110, 235, 1191, 254, '05938331', 0.9997856020927429, 14]
[668, 200, 720, 223, 'No.de', 0.9041646122932434, 17]
[709, 200, 767, 223, 'Cuenta', 0.501950204372406, 17]
[668, 234, 720, 257, 'No.de', 0.9566631317138672, 17]
[714, 234, 765, 257, 'Cliente', 0.9189059734344482, 17]
[213, 314, 493, 331, 'MBAN010022050205020078727407', 0.8520801663398743, 12]
[211, 334, 256, 356, 'VET', 0.9999336004257202, 16]
[258, 334, 371, 353, 'FERNANDO', 0.9912460446357727, 14]
[214, 384, 369, 396, '300422000COCKIEL', 0.6607809066772461, 9]
[371, 381, 412, 399, 'ANA', 0.9996732473373413, 13]
[411, 379, 433, 401, 'YI', 0.6379603147506714, 16]
[431, 381, 493, 399, 'PABLO', 0.9993207454681396, 13]
[213, 404, 414, 421, '00020416/3/6846192', 0.5160180926322937, 12]
[213, 425, 493, 442, 'MBAN010022050205020081036186', 0.8507252931594849, 12]
[213, 447, 267, 466, 'PETE', 0.9984371066093445, 14]
[213, 493, 364, 510, '0105220MARGOT', 0.8824252486228943, 12]
[363, 490, 385, 512, 'YI', 0.7971236705780029, 16]
[383, 493, 482, 510, 'BRUNETTE', 0.9989731311798096, 12]
[213, 515, 414, 532, '00004169760489500315', 0.6452348828315735, 12]
